+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                  ;
+----------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                              ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+----------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; performance_counters                                                                   ; 13    ; 0              ; 13           ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; io_arbiter                                                                             ; 102   ; 0              ; 0            ; 0              ; 103    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_axi_bus_interface|sync_fifo_pending_load                                   ; 622   ; 1              ; 0            ; 1              ; 619    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_axi_bus_interface|sync_fifo_pending_writeback                              ; 543   ; 1              ; 0            ; 1              ; 540    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_axi_bus_interface|l2_cache_pending_miss_cam|cam_pending_miss|oh_to_idx_hit ; 16    ; 0              ; 1            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_axi_bus_interface|l2_cache_pending_miss_cam|cam_pending_miss               ; 60    ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_axi_bus_interface|l2_cache_pending_miss_cam|oh_to_idx_next_empty           ; 16    ; 0              ; 1            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_axi_bus_interface|l2_cache_pending_miss_cam                                ; 31    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_axi_bus_interface                                                          ; 1188  ; 39             ; 0            ; 39             ; 1272   ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_update                                                               ; 1656  ; 0              ; 0            ; 0              ; 1077   ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_read|sram_l2_data                                                    ; 537   ; 0              ; 0            ; 0              ; 512    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_read|oh_to_idx_hit_way                                               ; 8     ; 0              ; 1            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_read                                                                 ; 1818  ; 0              ; 0            ; 0              ; 1731   ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag|way_tags_gen[7].sram_dirty_flags                                 ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag|way_tags_gen[7].sram_tags                                        ; 37    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag|way_tags_gen[6].sram_dirty_flags                                 ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag|way_tags_gen[6].sram_tags                                        ; 37    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag|way_tags_gen[5].sram_dirty_flags                                 ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag|way_tags_gen[5].sram_tags                                        ; 37    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag|way_tags_gen[4].sram_dirty_flags                                 ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag|way_tags_gen[4].sram_tags                                        ; 37    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag|way_tags_gen[3].sram_dirty_flags                                 ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag|way_tags_gen[3].sram_tags                                        ; 37    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag|way_tags_gen[2].sram_dirty_flags                                 ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag|way_tags_gen[2].sram_tags                                        ; 37    ; 0              ; 0            ; 0              ; 18     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; l2_cache|l2_cache_tag|way_tags_gen[1].sram_dirty_flags                                 ; 20    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
